actor,movie_or_TV_name
Timothée Chalamet,Call Me by Your Name
Timothée Chalamet,Dune
Timothée Chalamet,The King
Timothée Chalamet,Interstellar
Timothée Chalamet,A Rainy Day in New York
Timothée Chalamet,Wonka
Timothée Chalamet,Lady Bird
Timothée Chalamet,Beautiful Boy
George Holtzer,The Big Sick
George Holtzer,A Rainy Day in New York
George Holtzer,The Meyerowitz Stories (New and Selected)
George Holtzer,New Amsterdam
George Holtzer,The Babysitters
George Holtzer,The Last Days of Disco
Roy Savoy,Bruce Almighty
Roy Savoy,The Adjustment Bureau
Roy Savoy,A Rainy Day in New York
Roy Savoy,This Is Where I Leave You
Roy Savoy,Ghost Town
Roy Savoy,Wildling
Roy Savoy,A Thousand and One
Nicole Wodowski,Café Society
Nicole Wodowski,A Rainy Day in New York
Nicole Wodowski,Wonder Wheel
Nicole Wodowski,Tracers
Nicole Wodowski,The Longest Week
Nicole Wodowski,Rebel in the Rye
Nicole Wodowski,Generation Um...
Joseph Garzero,Zoolander
Joseph Garzero,Café Society
Joseph Garzero,A Rainy Day in New York
Joseph Garzero,A Perfect Murder
Joseph Garzero,Wonder Wheel
Joseph Garzero,Stay
Joseph Garzero,The Thomas Crown Affair
Chris Colombo,Glass
Chris Colombo,Sinister
Chris Colombo,You Were Never Really Here
Chris Colombo,A Rainy Day in New York
Chris Colombo,Buffy the Vampire Slayer
Chris Colombo,Elementary
Chris Colombo,The Manchurian Candidate
Chris Colombo,The Pink Panther 2
Kimberly Amacker,10 Cloverfield Lane
Kimberly Amacker,Escape Plan
Kimberly Amacker,Jack Reacher: Never Go Back
Kimberly Amacker,The Host
Kimberly Amacker,Underwater
Kimberly Amacker,The Best of Me
Kimberly Amacker,A Rainy Day in New York
Kimberly Amacker,The Beguiled
Stacey Panepinto,The Twilight Saga: Breaking Dawn - Part 2
Stacey Panepinto,The Twilight Saga: Breaking Dawn - Part 1
Stacey Panepinto,Snow White and the Huntsman
Stacey Panepinto,The Lost City
Stacey Panepinto,Underwater
Stacey Panepinto,Charlie's Angels
Stacey Panepinto,American Ultra
Stacey Panepinto,Café Society
Paul John Carli,The Avengers
Paul John Carli,The Last Witch Hunter
Paul John Carli,Abduction
Paul John Carli,A Rainy Day in New York
Susan Antonelli,Zombieland
Susan Antonelli,The Greatest Showman
Susan Antonelli,Big Fish
Susan Antonelli,National Treasure
